Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,13,0.9099999999999999,0.01,0.3017846481110673
100% Corpus,13,0.9099999999999999,0.31,0.3031011640809942
100% Corpus,13,0.9099999999999999,0.61,0.30310455391753294
100% Corpus,13,0.9099999999999999,0.9099999999999999,0.3017846481110673
100% Corpus,13,0.9099999999999999,symmetric,0.303928016303398
100% Corpus,13,symmetric,0.01,0.3596897170906473
100% Corpus,13,symmetric,0.31,0.3625005849016905
100% Corpus,13,symmetric,0.61,0.3600841207438533
100% Corpus,13,symmetric,0.9099999999999999,0.360888464127724
100% Corpus,13,symmetric,symmetric,0.3590687271702406
100% Corpus,13,asymmetric,0.01,0.35196103268156065
100% Corpus,13,asymmetric,0.31,0.35126542191974336
100% Corpus,13,asymmetric,0.61,0.3524640637381108
100% Corpus,13,asymmetric,0.9099999999999999,0.3531836070954649
100% Corpus,13,asymmetric,symmetric,0.3507754356240201
100% Corpus,14,0.01,0.01,0.3635849272550763
100% Corpus,14,0.01,0.31,0.36190970910479275
100% Corpus,14,0.01,0.61,0.35768022117496984
100% Corpus,14,0.01,0.9099999999999999,0.36421025984719685
100% Corpus,14,0.01,symmetric,0.36270057632305586
100% Corpus,14,0.31,0.01,0.3556348051056773
100% Corpus,14,0.31,0.31,0.35483564256163264
100% Corpus,14,0.31,0.61,0.35823234879093496
100% Corpus,14,0.31,0.9099999999999999,0.3532327266884389
100% Corpus,14,0.31,symmetric,0.35483564256163264
100% Corpus,14,0.61,0.01,0.3302487619582878
100% Corpus,14,0.61,0.31,0.32813504303127045
100% Corpus,14,0.61,0.61,0.325067094262064
100% Corpus,14,0.61,0.9099999999999999,0.3308881666974486
100% Corpus,14,0.61,symmetric,0.3260193851007308
100% Corpus,14,0.9099999999999999,0.01,0.3050951087758499
100% Corpus,14,0.9099999999999999,0.31,0.30512574761587385
100% Corpus,14,0.9099999999999999,0.61,0.3037617566486375
100% Corpus,14,0.9099999999999999,0.9099999999999999,0.3030940590608235
100% Corpus,14,0.9099999999999999,symmetric,0.30463100246415625
100% Corpus,14,symmetric,0.01,0.35748313582670643
100% Corpus,14,symmetric,0.31,0.3626622602628076
100% Corpus,14,symmetric,0.61,0.3626622602628076
100% Corpus,14,symmetric,0.9099999999999999,0.3614078786651244
100% Corpus,14,symmetric,symmetric,0.3594735570366355
100% Corpus,14,asymmetric,0.01,0.3533770592539879
100% Corpus,14,asymmetric,0.31,0.35248722671881794
100% Corpus,14,asymmetric,0.61,0.3559278304125747
100% Corpus,14,asymmetric,0.9099999999999999,0.35297824901296193
100% Corpus,14,asymmetric,symmetric,0.34994975754919583
100% Corpus,15,0.01,0.01,0.3639138157201971
100% Corpus,15,0.01,0.31,0.35975272583029216
100% Corpus,15,0.01,0.61,0.37315658319481076
100% Corpus,15,0.01,0.9099999999999999,0.3772954856178095
100% Corpus,15,0.01,symmetric,0.36155002260850666
100% Corpus,15,0.31,0.01,0.3567479302240755
100% Corpus,15,0.31,0.31,0.3618764392431681
100% Corpus,15,0.31,0.61,0.3584650576388749
100% Corpus,15,0.31,0.9099999999999999,0.35682562915823784
100% Corpus,15,0.31,symmetric,0.35841541463650206
100% Corpus,15,0.61,0.01,0.33477896203425667
100% Corpus,15,0.61,0.31,0.3328968259463092
100% Corpus,15,0.61,0.61,0.335119959101052
100% Corpus,15,0.61,0.9099999999999999,0.3347789620342567
100% Corpus,15,0.61,symmetric,0.3341326006022196
100% Corpus,15,0.9099999999999999,0.01,0.3162100842131616
100% Corpus,15,0.9099999999999999,0.31,0.3133405284229314
100% Corpus,15,0.9099999999999999,0.61,0.31491362833328673
100% Corpus,15,0.9099999999999999,0.9099999999999999,0.3105964927114218
100% Corpus,15,0.9099999999999999,symmetric,0.3158418694582101
100% Corpus,15,symmetric,0.01,0.3741306379833894
100% Corpus,15,symmetric,0.31,0.37388132143262415
100% Corpus,15,symmetric,0.61,0.3773057895797072
100% Corpus,15,symmetric,0.9099999999999999,0.37463262571658595
100% Corpus,15,symmetric,symmetric,0.36989512598507296
100% Corpus,15,asymmetric,0.01,0.35419636542349775
100% Corpus,15,asymmetric,0.31,0.35582102393420956
100% Corpus,15,asymmetric,0.61,0.359266551931156
100% Corpus,15,asymmetric,0.9099999999999999,0.35580748419781777
100% Corpus,15,asymmetric,symmetric,0.35963229216596826
100% Corpus,16,0.01,0.01,0.3732468662713757
100% Corpus,16,0.01,0.31,0.3745768446799653
100% Corpus,16,0.01,0.61,0.36878589467365686
100% Corpus,16,0.01,0.9099999999999999,0.37328379201998096
100% Corpus,16,0.01,symmetric,0.3740416392369281
100% Corpus,16,0.31,0.01,0.3653080121543634
100% Corpus,16,0.31,0.31,0.3660362840916932
100% Corpus,16,0.31,0.61,0.3655719968220574
100% Corpus,16,0.31,0.9099999999999999,0.36819997113764263
100% Corpus,16,0.31,symmetric,0.3677333344234506
100% Corpus,16,0.61,0.01,0.34085788402627815
100% Corpus,16,0.61,0.31,0.3381986234621964
100% Corpus,16,0.61,0.61,0.33872648953241713
100% Corpus,16,0.61,0.9099999999999999,0.33872575534958277
100% Corpus,16,0.61,symmetric,0.33949786141182153
100% Corpus,16,0.9099999999999999,0.01,0.3131121191078915
100% Corpus,16,0.9099999999999999,0.31,0.3136150178896804
100% Corpus,16,0.9099999999999999,0.61,0.3146238056727747
100% Corpus,16,0.9099999999999999,0.9099999999999999,0.3137475665452544
100% Corpus,16,0.9099999999999999,symmetric,0.3133087627594837
100% Corpus,16,symmetric,0.01,0.37741450179020775
100% Corpus,16,symmetric,0.31,0.3783483760283348
100% Corpus,16,symmetric,0.61,0.37762216678486604
100% Corpus,16,symmetric,0.9099999999999999,0.3747110663128124
100% Corpus,16,symmetric,symmetric,0.37611374421252847
100% Corpus,16,asymmetric,0.01,0.358342171277845
100% Corpus,16,asymmetric,0.31,0.36018004331981407
100% Corpus,16,asymmetric,0.61,0.36018004331981407
100% Corpus,16,asymmetric,0.9099999999999999,0.3575230217904874
100% Corpus,16,asymmetric,symmetric,0.3569912212720736
100% Corpus,17,0.01,0.01,0.3638091817087019
100% Corpus,17,0.01,0.31,0.36295657453678165
100% Corpus,17,0.01,0.61,0.36245100789022233
100% Corpus,17,0.01,0.9099999999999999,0.36307146142289853
100% Corpus,17,0.01,symmetric,0.36113136923723155
100% Corpus,17,0.31,0.01,0.3608714376909421
100% Corpus,17,0.31,0.31,0.3598094348270788
100% Corpus,17,0.31,0.61,0.35845771335134097
100% Corpus,17,0.31,0.9099999999999999,0.36076324913887214
100% Corpus,17,0.31,symmetric,0.36168029419451453
100% Corpus,17,0.61,0.01,0.32648864374064873
100% Corpus,17,0.61,0.31,0.33169802322400754
100% Corpus,17,0.61,0.61,0.32858479588834627
100% Corpus,17,0.61,0.9099999999999999,0.3272970835240196
100% Corpus,17,0.61,symmetric,0.32405196560488725
100% Corpus,17,0.9099999999999999,0.01,0.3079632103017061
100% Corpus,17,0.9099999999999999,0.31,0.3138183267772558
100% Corpus,17,0.9099999999999999,0.61,0.3168609512708183
100% Corpus,17,0.9099999999999999,0.9099999999999999,0.31198089709452553
100% Corpus,17,0.9099999999999999,symmetric,0.31424258895430024
100% Corpus,17,symmetric,0.01,0.36468508906424324
100% Corpus,17,symmetric,0.31,0.3651920393078209
100% Corpus,17,symmetric,0.61,0.3650001652933656
100% Corpus,17,symmetric,0.9099999999999999,0.3622753630754919
100% Corpus,17,symmetric,symmetric,0.36129277772994156
100% Corpus,17,asymmetric,0.01,0.3528563177227882
100% Corpus,17,asymmetric,0.31,0.35606170134568416
100% Corpus,17,asymmetric,0.61,0.3500294995827483
100% Corpus,17,asymmetric,0.9099999999999999,0.3547499062252905
100% Corpus,17,asymmetric,symmetric,0.35511125727729737
100% Corpus,18,0.01,0.01,0.36674097838110664
100% Corpus,18,0.01,0.31,0.3691181576724714
100% Corpus,18,0.01,0.61,0.36645425412119464
100% Corpus,18,0.01,0.9099999999999999,0.36772609666754713
100% Corpus,18,0.01,symmetric,0.36758139654816774
100% Corpus,18,0.31,0.01,0.3573772188811233
100% Corpus,18,0.31,0.31,0.35740291203804164
100% Corpus,18,0.31,0.61,0.3578468769414741
100% Corpus,18,0.31,0.9099999999999999,0.3594418957174182
100% Corpus,18,0.31,symmetric,0.3555483632351619
100% Corpus,18,0.61,0.01,0.3246056080692688
100% Corpus,18,0.61,0.31,0.32919994255637497
100% Corpus,18,0.61,0.61,0.3319893908864777
100% Corpus,18,0.61,0.9099999999999999,0.33105378352281944
100% Corpus,18,0.61,symmetric,0.3232607664620882
100% Corpus,18,0.9099999999999999,0.01,0.3126119563895259
100% Corpus,18,0.9099999999999999,0.31,0.31260672455160876
100% Corpus,18,0.9099999999999999,0.61,0.3107637299079945
100% Corpus,18,0.9099999999999999,0.9099999999999999,0.3123992323668495
100% Corpus,18,0.9099999999999999,symmetric,0.31517959278741775
100% Corpus,18,symmetric,0.01,0.36411951774930934
100% Corpus,18,symmetric,0.31,0.3700722613150592
100% Corpus,18,symmetric,0.61,0.366053664974614
100% Corpus,18,symmetric,0.9099999999999999,0.36780873413957066
100% Corpus,18,symmetric,symmetric,0.3686623422739077
100% Corpus,18,asymmetric,0.01,0.3542893697186625
100% Corpus,18,asymmetric,0.31,0.3548615839971223
100% Corpus,18,asymmetric,0.61,0.3545917142966019
100% Corpus,18,asymmetric,0.9099999999999999,0.353107052387849
100% Corpus,18,asymmetric,symmetric,0.3555569794924827
100% Corpus,19,0.01,0.01,0.3632917614246594
100% Corpus,19,0.01,0.31,0.36849218046146065
100% Corpus,19,0.01,0.61,0.3692861560398222
100% Corpus,19,0.01,0.9099999999999999,0.3610695384121074
100% Corpus,19,0.01,symmetric,0.36628115326246974
100% Corpus,19,0.31,0.01,0.354575747272743
100% Corpus,19,0.31,0.31,0.3555971449819321
100% Corpus,19,0.31,0.61,0.3609362365593241
100% Corpus,19,0.31,0.9099999999999999,0.3605329395946025
100% Corpus,19,0.31,symmetric,0.3589990089174077
100% Corpus,19,0.61,0.01,0.33314177456481786
100% Corpus,19,0.61,0.31,0.32539205059708587
100% Corpus,19,0.61,0.61,0.3291463517768576
100% Corpus,19,0.61,0.9099999999999999,0.3263232938435467
100% Corpus,19,0.61,symmetric,0.3268979717235479
100% Corpus,19,0.9099999999999999,0.01,0.30954887264206343
100% Corpus,19,0.9099999999999999,0.31,0.31068526327053997
100% Corpus,19,0.9099999999999999,0.61,0.3099455927059927
100% Corpus,19,0.9099999999999999,0.9099999999999999,0.3107967871017657
100% Corpus,19,0.9099999999999999,symmetric,0.3131334839653291
100% Corpus,19,symmetric,0.01,0.3702136127453056
100% Corpus,19,symmetric,0.31,0.36459521936288586
100% Corpus,19,symmetric,0.61,0.3691638212451516
100% Corpus,19,symmetric,0.9099999999999999,0.36602767805372916
100% Corpus,19,symmetric,symmetric,0.3656826603740651
100% Corpus,19,asymmetric,0.01,0.35754217238832564
100% Corpus,19,asymmetric,0.31,0.35654682576416896
100% Corpus,19,asymmetric,0.61,0.35387318889978797
100% Corpus,19,asymmetric,0.9099999999999999,0.3569746784915972
100% Corpus,19,asymmetric,symmetric,0.3547955343911032
100% Corpus,20,0.01,0.01,0.38140343603383087
100% Corpus,20,0.01,0.31,0.38020723777022486
100% Corpus,20,0.01,0.61,0.3740929641054463
100% Corpus,20,0.01,0.9099999999999999,0.3718909239689173
100% Corpus,20,0.01,symmetric,0.3710768550234967
100% Corpus,20,0.31,0.01,0.3673241529224337
100% Corpus,20,0.31,0.31,0.36659829063699817
100% Corpus,20,0.31,0.61,0.36698480494445296
100% Corpus,20,0.31,0.9099999999999999,0.36833047138081226
100% Corpus,20,0.31,symmetric,0.36751430246091726
100% Corpus,20,0.61,0.01,0.3331189047116878
100% Corpus,20,0.61,0.31,0.3340772074280523
100% Corpus,20,0.61,0.61,0.3353982843486241
100% Corpus,20,0.61,0.9099999999999999,0.3350309700422392
100% Corpus,20,0.61,symmetric,0.3332331033768653
100% Corpus,20,0.9099999999999999,0.01,0.31108427297182906
100% Corpus,20,0.9099999999999999,0.31,0.3103231088250244
100% Corpus,20,0.9099999999999999,0.61,0.3095911246880093
100% Corpus,20,0.9099999999999999,0.9099999999999999,0.30943808284622853
100% Corpus,20,0.9099999999999999,symmetric,0.3087983408033306
100% Corpus,20,symmetric,0.01,0.3815358654745135
100% Corpus,20,symmetric,0.31,0.3768772530024566
100% Corpus,20,symmetric,0.61,0.36710488084449133
100% Corpus,20,symmetric,0.9099999999999999,0.3759467202119883
100% Corpus,20,symmetric,symmetric,0.36402459246264207
100% Corpus,20,asymmetric,0.01,0.3680099814576625
100% Corpus,20,asymmetric,0.31,0.3687366592279795
100% Corpus,20,asymmetric,0.61,0.3659358512846731
100% Corpus,20,asymmetric,0.9099999999999999,0.365013788751646
100% Corpus,20,asymmetric,symmetric,0.36499864337386034
